Id,Label,timeset,username,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,clustering,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
1908,,,YanarD_U,0,1,1,0,1,1,0,0,2,0.666667,0.75,0
1909,,,mathiolla,0,1,1,0,1,1,0,0,2,0.666667,0.75,0
1910,,,FireIsBorn3,2,24,26,2,28,30,0.041667,0.020363,4,0.619718,0.74053,88
1911,,,dfghbr6t7,0,1,1,0,1,1,0,0,2,0.666667,0.75,0
1912,,,JohnSmi94424885,0,1,1,0,1,1,0,0,2,0.666667,0.75,0
1913,,,southstyl,0,1,1,0,1,1,0,0,2,0.666667,0.75,0
1914,,,xiaoli_ya,0,1,1,0,1,1,0,0,2,0.666667,0.75,0
1915,,,GrattoDanny,0,1,1,0,1,1,0,0,2,0.666667,0.75,0
1916,,,heyjomachin,2,1,3,2,1,3,0.5,0.013374,0,0,0,0
1917,,,PplFuture,0,1,1,0,1,1,0,0,1,1,1,0
1918,,,pinoymommy,4,1,5,4,1,5,0.25,0.026749,0,0,0,0
1919,,,sunshineca5,0,1,1,0,1,1,0,0,1,1,1,0
1920,,,Jeffarin22,0,2,2,0,2,2,0,0,1,1,1,0
1921,,,CyprusLex,0,2,2,0,2,2,0,0,1,1,1,0
1922,,,jxpiter_exe,3,1,4,3,1,4,0.333333,0.020061,0,0,0,0
1923,,,airwei221,0,1,1,0,1,1,0,0,1,1,1,0
1924,,,ReallyTrueNorth,0,1,1,0,1,1,0,0,1,1,1,0
1925,,,royalgeekg,5,1,6,5,1,6,0.2,0.033436,0,0,0,0
1926,,,brrrrr_noah,0,3,3,0,3,3,0,0,1,1,1,0
1927,,,Eve_USA,0,1,1,0,1,1,0,0,1,1,1,0
1928,,,gmkayumi2,0,1,1,0,1,1,0,0,1,1,1,0
1929,,,UOT9e9F5sPBYvkb,0,1,1,0,1,1,0,0,1,1,1,0
1930,,,youyounxingyunc,1,1,2,1,1,2,0,0.006687,0,0,0,0
1931,,,lenorechinn,4,1,5,6,2,8,0.25,0.026749,0,0,0,0
1932,,,fishushy,0,1,1,0,2,2,0,0,1,1,1,0
1933,,,forestsky15,0,1,1,0,1,1,0,0,1,1,1,0
1934,,,AtlasHopkinton,5,1,6,6,1,7,0.2,0.033436,0,0,0,0
1935,,,vangelicmonk,0,1,1,0,1,1,0,0,1,1,1,0
1936,,,buzzlightyear58,0,1,1,0,2,2,0,0,1,1,1,0
1937,,,Kndwhnsn,0,2,2,0,2,2,0,0,1,1,1,0
1938,,,K9649730142,0,2,2,0,2,2,0,0,3,0.471264,0.495935,0
1939,,,J00NIECHUU,7,1,8,7,1,8,0.142857,0.04681,0,0,0,0
1940,,,JuneMonroe3905,0,1,1,0,1,1,0,0,1,1,1,0
1941,,,xenus_c,0,2,2,0,2,2,0,0,1,1,1,0
1942,,,loko411,0,1,1,0,1,1,0,0,1,1,1,0
1943,,,freqflyer_ck,0,1,1,0,1,1,0,0,1,1,1,0
1944,,,VinnaRoseee,0,1,1,0,1,1,0,0,1,1,1,0
1945,,,GaryDu1962,0,1,1,0,1,1,0,0,1,1,1,0
1946,,,coeus61,0,1,1,0,1,1,0,0,1,1,1,0
1947,,,wildgees8,0,2,2,0,2,2,0,0,1,1,1,0
1948,,,JavisUpdate,0,1,1,0,1,1,0,0,1,1,1,0
1949,,,Harry43521235,0,1,1,0,1,1,0,0,1,1,1,0
1950,,,PachelbelCannon,0,1,1,0,1,1,0,0,1,1,1,0
1951,,,DawnLauri,0,2,2,0,2,2,0,0,1,1,1,0
1952,,,kcbobbie,0,2,2,0,2,2,0,0,1,1,1,0
1953,,,jdaviscpa,1,1,2,1,1,2,0,0.006687,0,0,0,0
1954,,,beastcoastmac,5,1,6,6,2,8,0.2,0.040424,0,0,0,0
1955,,,moltymolter,0,1,1,0,1,1,0,0,3,0.478873,0.495098,0
1956,,,mididoodles,0,3,3,0,3,3,0,0,3,0.493151,0.523148,0
1957,,,PuteriZoey,0,3,3,0,3,3,0,0,3,0.493151,0.523148,0
1958,,,DiamondDevil,0,1,1,0,1,1,0,0,3,0.478873,0.495098,0
1959,,,rkgs11,0,1,1,0,1,1,0,0,3,0.478873,0.495098,0
1960,,,shuaibcolin,0,1,1,0,1,1,0,0,3,0.478873,0.495098,0
1961,,,jgkidd82,0,1,1,0,1,1,0,0,3,0.478873,0.495098,0
1962,,,dvandeventer,0,1,1,0,1,1,0,0,3,0.478873,0.495098,0
1963,,,VictoriaTenshi,0,1,1,0,1,1,0,0,3,0.478873,0.495098,0
1964,,,TheJoeMendoza,0,1,1,0,1,1,0,0,1,1,1,0
1965,,,bannymimigipsa,0,1,1,0,1,1,0,0,1,1,1,0
